address,product_title,product_images
https://www.pazzion.com/products/c2257-3-joyce-pearl-patent-slingback-heels,Joyce Pearl Patent Slingback Heels,"['https://www.pazzion.com/cdn/shop/files/JoycePearlPatentSlingbackHeels-Beige-1.jpg?v=1705898929', 'https://www.pazzion.com/cdn/shop/files/JoycePearlPatentSlingbackHeels-Beige-2.jpg?v=1705898934', 'https://www.pazzion.com/cdn/shop/files/JoycePearlPatentSlingbackHeels-Beige-3.jpg?v=1705898939', 'https://www.pazzion.com/cdn/shop/files/JoycePearlPatentSlingbackHeels-Beige-4.jpg?v=1705898944', 'https://www.pazzion.com/cdn/shop/files/JoycePearlPatentSlingbackHeels-Beige-5.jpg?v=1705898949']"
https://www.pazzion.com/products/122-5-maia-pearl-decor-bow-slingbacks-kitten-heels,Maia Pearl Décor Bow Slingbacks Kitten Heels,"['https://www.pazzion.com/cdn/shop/files/MaiaPearlDi_corBowSlingbacksKittenHeels-Beige-1.webp?v=1705903988', 'https://www.pazzion.com/cdn/shop/files/MaiaPearlDi_corBowSlingbacksKittenHeels-Beige-2.webp?v=1705903993', 'https://www.pazzion.com/cdn/shop/files/MaiaPearlDi_corBowSlingbacksKittenHeels-Beige-3.webp?v=1705903999', 'https://www.pazzion.com/cdn/shop/files/MaiaPearlDi_corBowSlingbacksKittenHeels-Beige-4.webp?v=1705904009', 'https://www.pazzion.com/cdn/shop/files/MaiaPearlDi_corBowSlingbacksKittenHeels-Beige-5.webp?v=1705904014']"
https://www.pazzion.com/products/6313-1-aurelia-strappy-espadrilles,Aurelia Strappy Espadrilles,"['https://www.pazzion.com/cdn/shop/files/AureliaStrappyEspadrilles-White-1.webp?v=1714644163', 'https://www.pazzion.com/cdn/shop/files/AureliaStrappyEspadrilles-White-2.webp?v=1714644169', 'https://www.pazzion.com/cdn/shop/files/AureliaStrappyEspadrilles-White-3.webp?v=1714644174', 'https://www.pazzion.com/cdn/shop/files/AureliaStrappyEspadrilles-White-4.webp?v=1714644179', 'https://www.pazzion.com/cdn/shop/files/AureliaStrappyEspadrilles-White-5.webp?v=1714644183']"
https://www.pazzion.com/products/1919-1-margot-tweed-lace-up-espadrilles,Margot Tweed Lace-up Espadrilles,"['https://www.pazzion.com/cdn/shop/files/MargotTweedLace-upEspadrilles-White-1.jpg?v=1705904414', 'https://www.pazzion.com/cdn/shop/files/MargotTweedLace-upEspadrilles-White-7.webp?v=1707199527', 'https://www.pazzion.com/cdn/shop/files/MargotTweedLace-upEspadrilles-White-2.jpg?v=1707199527', 'https://www.pazzion.com/cdn/shop/files/MargotTweedLace-upEspadrilles-White-6.webp?v=1707199527', 'https://www.pazzion.com/cdn/shop/files/MargotTweedLace-upEspadrilles-White-3.jpg?v=1707199527']"
https://www.pazzion.com/products/3899-9-fallon-leather-ankle-boots,Fallon Leather Ankle Boots,"['https://www.pazzion.com/cdn/shop/files/FallonLeatherAnkleBoots-Beige-1.webp?v=1705892084', 'https://www.pazzion.com/cdn/shop/files/FallonLeatherAnkleBoots-Beige-2.webp?v=1705892090', 'https://www.pazzion.com/cdn/shop/files/FallonLeatherAnkleBoots-Beige-3.webp?v=1705892096', 'https://www.pazzion.com/cdn/shop/files/FallonLeatherAnkleBoots-Beige-4.webp?v=1705892102', 'https://www.pazzion.com/cdn/shop/files/FallonLeatherAnkleBoots-Beige-5.webp?v=1705892109']"
https://www.pazzion.com/products/1919-33-andrina-pearl-espadrille-mules,Andrina Pearl Espadrille Mules,"['https://www.pazzion.com/cdn/shop/files/AndrinaPearlEspadrilleMules-Blue-1.webp?v=1705647916', 'https://www.pazzion.com/cdn/shop/files/AndrinaPearlEspadrilleMules-Blue-2.webp?v=1705647921', 'https://www.pazzion.com/cdn/shop/files/AndrinaPearlEspadrilleMules-Blue-3.webp?v=1705647926', 'https://www.pazzion.com/cdn/shop/files/AndrinaPearlEspadrilleMules-Blue-4.webp?v=1705647931', 'https://www.pazzion.com/cdn/shop/files/AndrinaPearlEspadrilleMules-Blue-5.webp?v=1705647936']"
https://www.pazzion.com/products/6292-9-nikki-supple-leather-slides,Nikki Supple Leather Slides,"['https://www.pazzion.com/cdn/shop/files/NikkiSuppleLeatherSlides-LightYellow-1.jpg?v=1711327281', 'https://www.pazzion.com/cdn/shop/files/NikkiSuppleLeatherSlides-LightYellow-2.jpg?v=1711327275', 'https://www.pazzion.com/cdn/shop/files/NikkiSuppleLeatherSlides-LightYellow-3.jpg?v=1711327262', 'https://www.pazzion.com/cdn/shop/files/NikkiSuppleLeatherSlides-LightYellow-4.jpg?v=1711327256', 'https://www.pazzion.com/cdn/shop/files/NikkiSuppleLeatherSlides-LightYellow-5.jpg?v=1706602982']"
https://www.pazzion.com/products/298-2-vaeda-v-cut-heel-mules,Vaeda V-Cut Heel Mules,"['https://www.pazzion.com/cdn/shop/files/VaedaV-CutHeelMules-Beige-1.webp?v=1705912496', 'https://www.pazzion.com/cdn/shop/files/VaedaV-CutHeelMules-Beige-3.webp?v=1705912505', 'https://www.pazzion.com/cdn/shop/files/VaedaV-CutHeelMules-Beige-4.webp?v=1705912509', 'https://www.pazzion.com/cdn/shop/files/VaedaV-CutHeelMules-Beige-5.webp?v=1705912513', 'https://www.pazzion.com/cdn/shop/files/VaedaV-CutHeelMules-Beige-6.webp?v=1705912518']"
https://www.pazzion.com/products/8376-5a-jude-strapped-glossy-block-heels,Jude Strapped Glossy Block Heels,"['https://www.pazzion.com/cdn/shop/files/JudeStrappedGlossyBlockHeels-Almond-1.webp?v=1720409173', 'https://www.pazzion.com/cdn/shop/files/JudeStrappedGlossyBlockHeels-Almond-3.webp?v=1720409184', 'https://www.pazzion.com/cdn/shop/files/JudeStrappedGlossyBlockHeels-Almond-7.webp?v=1720409201', 'https://www.pazzion.com/cdn/shop/files/JudeStrappedGlossyBlockHeels-Almond-2.webp?v=1720409178', 'https://www.pazzion.com/cdn/shop/files/JudeStrappedGlossyBlockHeels-Almond-6.webp?v=1720409197']"
https://www.pazzion.com/products/3020-1-ayla-round-toe-mary-janes,Ayla Round-Toe Mary Janes,"['https://www.pazzion.com/cdn/shop/files/AylaRound-ToeMaryJanes-Beige-1.webp?v=1705649332', 'https://www.pazzion.com/cdn/shop/files/AylaRound-ToeMaryJanes-Beige-6.webp?v=1715764127', 'https://www.pazzion.com/cdn/shop/files/AylaRound-ToeMaryJanes-Beige-3.webp?v=1715764127', 'https://www.pazzion.com/cdn/shop/files/AylaRound-ToeMaryJanes-Beige-4.webp?v=1715764127', 'https://www.pazzion.com/cdn/shop/files/AylaRound-ToeMaryJanes-Beige-5.webp?v=1715764127']"
